Name,Class,type,date_order,overnight,display,name_zh,name_tb,name_char_zh,note,date_chart
Beijing,City,stop,1,1,1,,,,,
Chengdu,City,stop,2,1,1,,,,,
Dartsendo,City,stop,3,1,1,,,,,
Lithang,City,stop,4,1,1,,,,,
Mount Genyen,Mountain,stop,5,1,1, , , , ,
Rarikawa,Village,stop,5,1,0,,,,,
Yading Nature Reserve,Nature Reserve,stop,6, ,1, , ,亚丁自然保护区,,
Bathang,City,stop,7, ,1,,,,,
Nyarong,City,stop,8, ,1,,,,,
Gandze,City,stop,9, ,1,,,,,
Derge,City,stop,10, ,1,,,,,
Dzongsar Monastery,Monastery,stop,11, ,1, , ,རྫོང་གསར་དགོན།, ,
Dzogchen,City,stop,12, ,1,,,,,
Sershul Monastery,Monastery,stop,13, ,1,,,,,
Jyekundo,City,stop,14, ,1,,,,,
Maqen,City,stop,15, ,1,,,,,
Repkong,City,stop,16, ,1,,,,,
Xining,City,stop,17, ,1,,,,,
Nakchu,City,stop,18, ,1,Train Station,,,,
Reting,City,stop,19, ,1,,,,,
Drigung,City,stop,20, ,1,Drigung Monestary,,,,
Milin,City,stop,21, ,1,,,,,
Samye,City,stop,22, ,1,,,,,
Lhasa,City,stop,23, ,1,,,,,
Golmud,City,other, , ,0,,,,,
Guangyuan,City,other, ,0,0,,,,,
Xi'an,City,other, ,0,0,,,,,
Sang La,City,other, , ,0,,,,,
Tang la,City,other, , ,0,,,,,
Chak La,City,other, , ,0,,,,,
Ganden,City,other, , ,0,,,,,
Gongkar,City,other, , ,0,,,,,
Tradruk,City,other, , ,0,,,,,
Chimpu,City,other, , ,0,,,,,
Bayi,City,other, , ,0,,,,,
Nyangtri,City,other, , ,0,,,,,
Namse,City,other, , ,0,,,,,
Buchu,City,other, , ,0,,,,,
Gyatse,City,other, , ,0,,,,,
Sang Ri,City,other, , ,0,,,,,
Densitil Gompa,City,other, , ,0,,,,,
Rabjya Gompa,Monastery,other, , ,0,,,,,
Hua Ri,City,other, , ,0,,,,,
Manigango,City,other, , ,0,,,,,
Mato,City,other, , ,0,,,,,
Nangxian,City,other, , ,0,,,,,
Sumdo,City,other, , ,0,,,,,
Daocheng,City,other, , ,0,,,,,
Lama ya,City,other, , ,0,,,,,
Tsangna,City,other, , ,0,,,,,
Tsethang,City,other, , ,0,,,,,
Nang,City,other, , ,0,,,,,
Bayi?,City,other, , ,0,,,,,
Par La,City,other, , ,0,,,,,
Mendro Gongkar,City,other, , ,0,,,,,
Char La,City,other, , ,0,,,,,
Damsung?,City,other, , ,0,,,,,
Sershul Gompa,City,other, , ,0,,,,,
Tro La Pass,Feature,other, , ,0,,,,,
Harpo,City,other, , ,0,,,,,
Shangri-la Town,City,stop, ,1,0,Xianggelilazhen,Riwa,ξ昂格丽拉真,Xianggelilazhen - Shangri La town,
